lang,mse,mae
deu_Latn,0.004861383649940089,0.018256697638404963
jpn_Jpan,0.002913481300813007,0.014665040650406507
cmn_Hani,0.013969871300813005,0.030522764227642284
eng_Latn,0.00782723133577098,0.06037688153310106
urd_Arab,0.022676658699187,0.04805853658536586
tur_Latn,0.025189451173793845,0.06985803716608593
arb_Arab,0.010134796651513098,0.03202632791327913
guj_Gujr,0.0008758829268292682,0.006458536585365854
heb_Hebr,0.0037732086991869905,0.020057723577235783
kaz_Cyrl,0.01872509359396466,0.02566666085946574
mon_Cyrl,0.02476055357723577,0.05766422764227644
hun_Latn,0.00647974917948399,0.016609210220673635
fin_Latn,0.020988268455284554,0.0532878048780488
hin_Deva,0.0054581204065040625,0.01720894308943089
kor_Hang,0.019412712764227638,0.04960731707317072
pan_Guru,0.018565317560975604,0.04583739837398374
other,0.006399703818149344,0.04958377661633758
avg,0.012530087358451346,0.036220346154722055
