lang,mse,mae
deu_Latn,0.008590889795918377,0.029504081632653088
jpn_Jpan,0.0026789067346938865,0.01335306122448982
cmn_Hani,0.006923793775510213,0.025472448979591854
eng_Latn,0.014463905204081645,0.07623367346938778
urd_Arab,0.014364907857142844,0.049811224489795906
tur_Latn,0.0297499337755102,0.07679285714285715
arb_Arab,0.015890603673469395,0.03765306122448981
guj_Gujr,0.015105427653061233,0.04557857142857146
heb_Hebr,0.013808475918367364,0.02526122448979595
kaz_Cyrl,0.013042427346938782,0.04073877551020409
mon_Cyrl,0.0076919765306122405,0.01608163265306123
hun_Latn,0.00046003122448979537,0.0023530612244897944
fin_Latn,4.7575000000000025e-05,0.0011377551020408164
hin_Deva,0.03109780765306123,0.08758673469387757
kor_Hang,4.70204081632653e-07,9.795918367346938e-05
pan_Guru,0.01900580244897958,0.04090408163265306
other,0.004482541632653066,0.05022040816326531
avg,0.0116120868487395,0.036398859543817545
