lang,mse,mae
deu_Latn,0.005209297327586206,0.018740517241379304
jpn_Jpan,0.004331575086206895,0.019774999999999994
cmn_Hani,0.008087788965517248,0.028048275862068987
eng_Latn,0.012171676034482758,0.0726706896551724
urd_Arab,0.01963910948275862,0.04366206896551724
tur_Latn,0.016416854827586206,0.052736206896551736
arb_Arab,0.003401696551724139,0.017274137931034484
guj_Gujr,0.03166985258620687,0.06500862068965516
heb_Hebr,0.0051589562068965495,0.015444827586206899
kaz_Cyrl,0.013213560603448275,0.04508017241379311
mon_Cyrl,0.007482507413793099,0.019296551724137925
hun_Latn,0.0002796974137931035,0.003474137931034483
fin_Latn,0.004005378362068964,0.008116379310344826
hin_Deva,0.015681918448275857,0.04369137931034483
kor_Hang,0.0004965517241379311,0.0020689655172413794
pan_Guru,0.019144815172413784,0.04415689655172415
other,0.005227549913793103,0.051728448275862066
avg,0.01009522271298174,0.03241019269776876
