lang,mse,mae
deu_Latn,0.005312183017241379,0.01873879310344827
jpn_Jpan,0.0024986120689655163,0.014198275862068966
cmn_Hani,0.004540401637931041,0.023647413793103464
eng_Latn,0.012233276810344825,0.07340775862068966
urd_Arab,0.021406374568965512,0.045650862068965514
tur_Latn,0.01685241948275862,0.054748275862068985
arb_Arab,0.0030717493103448283,0.018055172413793105
guj_Gujr,0.03345523818965516,0.07070775862068965
heb_Hebr,0.005034571982758615,0.014614655172413784
kaz_Cyrl,0.02045202931034483,0.055882758620689664
mon_Cyrl,0.008368789568965513,0.019700862068965517
hun_Latn,0.00034134198275862074,0.003897413793103448
fin_Latn,0.004023910948275862,0.00794051724137931
hin_Deva,0.016325910172413794,0.04947931034482759
kor_Hang,0.0004965517241379311,0.0020689655172413794
pan_Guru,0.024830017327586208,0.04988534482758622
other,0.004817838448275864,0.0499448275862069
avg,0.010827130385395536,0.033680527383367145
