lang,mse,mae
deu_Latn,0.005384036734693884,0.02842040816326534
jpn_Jpan,0.004487758979591843,0.015614285714285735
cmn_Hani,0.0032220596938775546,0.02065000000000001
eng_Latn,0.01765114408163266,0.08470408163265304
urd_Arab,0.015327791122448984,0.053325510204081626
tur_Latn,0.024687622959183655,0.07388469387755105
arb_Arab,0.01867357469387756,0.045434693877551044
guj_Gujr,0.01871354744897959,0.049535714285714294
heb_Hebr,0.01194923071428572,0.020337755102040837
kaz_Cyrl,0.014187809693877557,0.04399285714285715
mon_Cyrl,0.01252192775510203,0.021165306122448983
hun_Latn,0.00018461826530612229,0.0021908163265306115
fin_Latn,7.297826530612248e-05,0.0017500000000000005
hin_Deva,0.03404946969387756,0.09325
kor_Hang,2.4097959183673468e-06,0.0002204081632653061
pan_Guru,0.02132480959183673,0.04423061224489795
other,0.004836875510204081,0.05160612244897958
avg,0.012192803823529413,0.03825372148859544
