lang,mse,mae
deu_Latn,0.009032077653061231,0.029441836734693895
jpn_Jpan,0.0028012511224489874,0.013880612244897983
cmn_Hani,0.006328270612244903,0.02426734693877552
eng_Latn,0.01419979612244899,0.07614693877551022
urd_Arab,0.01613436020408162,0.05163061224489794
tur_Latn,0.024712601020408165,0.07351836734693878
arb_Arab,0.015636878673469395,0.03813571428571431
guj_Gujr,0.016972000306122448,0.04504183673469391
heb_Hebr,0.0145580498979592,0.027098979591836762
kaz_Cyrl,0.009360094387755109,0.03242755102040818
mon_Cyrl,0.009278884081632653,0.01784489795918368
hun_Latn,0.00046350061224489746,0.0023612244897959172
fin_Latn,4.752479591836741e-05,0.0011030612244897961
hin_Deva,0.023985243061224494,0.07342653061224491
kor_Hang,1.1755102040816325e-07,4.897959183673469e-05
pan_Guru,0.030218291530612208,0.04865816326530609
other,0.004194712551020411,0.047462244897959194
avg,0.011642567893157265,0.03544087635054022
