lang,mse,mae
deu_Latn,0.008309940714285723,0.02923571428571431
jpn_Jpan,0.0033333682653061297,0.013964285714285747
cmn_Hani,0.005009120408163269,0.02156326530612246
eng_Latn,0.013734704183673478,0.0748826530612245
urd_Arab,0.015011810918367334,0.051292857142857126
tur_Latn,0.031412848571428564,0.08162653061224488
arb_Arab,0.01593884561224491,0.0421295918367347
guj_Gujr,0.017619968979591834,0.04727959183673471
heb_Hebr,0.013739436530612258,0.025183673469387782
kaz_Cyrl,0.010220127857142868,0.03530714285714288
mon_Cyrl,0.007914308469387748,0.01675
hun_Latn,0.00042885540816326497,0.002221428571428571
fin_Latn,2.201938775510204e-05,0.0008571428571428571
hin_Deva,0.03454338183673471,0.09145510204081635
kor_Hang,1.0579591836734693e-06,0.0001469387755102041
pan_Guru,0.02037206285714285,0.04336326530612244
other,0.004278581326530616,0.04981122448979593
avg,0.011875908193277315,0.036886494597839145
