lang,mse,mae
eng_Latn,0.0063658272029888914,0.04811149532865094
deu_Latn,0.012845287594092302,0.03185345298833818
cmn_Hani,0.014888262146999667,0.03713665998542275
tur_Latn,0.008747118062240407,0.03502200376579202
kaz_Cyrl,0.006123191385483769,0.027937820699708467
hun_Latn,0.0008048546683673463,0.00235688775510204
fin_Latn,0.0007878352041454081,0.002499987244897959
heb_Hebr,0.01862455888433003,0.03262940233236152
arb_Arab,0.004926283452866576,0.016055185860058312
mon_Cyrl,0.0029795839056540358,0.010748042395529638
hin_Deva,0.006403470059814345,0.02490845663265306
jpn_Jpan,0.002973531751700684,0.01151877551020409
urd_Arab,0.009023049636143934,0.033895392978620015
pan_Guru,0.009291851734693877,0.030183163265306127
guj_Gujr,0.008816772142857138,0.03276530612244898
kor_Hang,1.2298954081632619e-05,0.00023852040816326508
other,0.02425105195267106,0.07898789965986396
avg,0.008109695808184181,0.026873438407830668
