lang,mse,mae
eng_Latn,0.006385081635560125,0.04808847181729835
deu_Latn,0.012702378987317926,0.03149224550534499
cmn_Hani,0.014822163261300855,0.03703214771622936
tur_Latn,0.008745914326325686,0.03519523505830903
kaz_Cyrl,0.006053126480438417,0.02761464893100099
hun_Latn,0.000813666403061224,0.0023655612244897956
fin_Latn,0.0007506044924107143,0.002456109693877551
heb_Hebr,0.018765925642319176,0.03264601068999029
arb_Arab,0.004884063665278506,0.015262902696793009
mon_Cyrl,0.0030136973486465392,0.010749026360544216
hin_Deva,0.006086764625999153,0.024296296768707492
jpn_Jpan,0.003097734251700684,0.011754489795918375
urd_Arab,0.008387767019809306,0.03203825012147715
pan_Guru,0.00921820668367347,0.03014285714285715
guj_Gujr,0.009021175663265301,0.03314642857142858
kor_Hang,1.1312474489795868e-05,0.00023545918367346902
other,0.024396144162192702,0.07946135143343053
avg,0.008067983948458212,0.026704558394786488
