lang,mse,mae
eng_Latn,0.007214473235294114,0.06630294117647058
deu_Latn,0.02790284088235295,0.07107352941176472
cmn_Hani,0.017841016470588188,0.06072352941176472
tur_Latn,0.0015123938235294123,0.01885588235294118
kaz_Cyrl,0.0036723829411764723,0.015870588235294126
hun_Latn,3.2499999999999996e-07,0.00013823529411764705
fin_Latn,0.0006052752941176466,0.007541176470588234
heb_Hebr,0.0005670385294117649,0.011191176470588237
arb_Arab,0.003159994117647061,0.016605882352941182
mon_Cyrl,0.003254115294117643,0.020005882352941172
hin_Deva,1.1529411764705887e-07,8.23529411764706e-05
other,0.05009710411764705,0.17037647058823538
avg,0.009652256249999996,0.03823063725490197
