lang,mse,mae
eng_Latn,0.006912612058823529,0.06554999999999998
deu_Latn,0.02624626205882354,0.07113823529411765
cmn_Hani,0.015057772058823481,0.049244117647058806
tur_Latn,0.001587336176470589,0.019126470588235297
kaz_Cyrl,0.004145890588235295,0.016082352941176475
hun_Latn,5.929411764705882e-07,0.00021176470588235292
fin_Latn,0.0005305458823529407,0.006552941176470585
heb_Hebr,0.0005187297058823529,0.010414705882352944
arb_Arab,0.003647262058823531,0.017967647058823536
mon_Cyrl,0.003465773235294112,0.018373529411764695
hin_Deva,2.8823529411764718e-08,4.11764705882353e-05
other,0.04986048882352939,0.16744117647058832
avg,0.009331107867647055,0.036845343137254905
