lang,mse,mae
eng_Latn,0.007674376176470587,0.06837352941176471
deu_Latn,0.03425308117647059,0.07490000000000002
cmn_Hani,0.018426924117647004,0.06221764705882352
tur_Latn,0.0014033614705882358,0.0183264705882353
kaz_Cyrl,0.003915010588235295,0.014976470588235298
hun_Latn,5.929411764705882e-07,0.00021176470588235292
fin_Latn,0.0006555717647058819,0.007682352941176468
heb_Hebr,0.0005654099999999998,0.011264705882352942
arb_Arab,0.0032985194117647076,0.017141176470588243
mon_Cyrl,0.004305068235294113,0.0217235294117647
hin_Deva,2.8823529411764718e-08,4.11764705882353e-05
other,0.05213141676470587,0.17693823529411773
avg,0.01055244678921568,0.039483088235294124
