lang,mse,mae
eng_Latn,0.007899362352941178,0.0740294117647059
deu_Latn,0.013539623529411777,0.05188235294117649
cmn_Hani,0.008640564705882354,0.054605882352941164
tur_Latn,0.002039325882352941,0.024352941176470595
kaz_Cyrl,0.0020256123529411763,0.014894117647058822
hun_Latn,1.6941176470588232e-07,7.058823529411764e-05
fin_Latn,0.0004931999999999996,0.006694117647058821
heb_Hebr,0.0005646964705882356,0.009023529411764705
arb_Arab,0.002278841470588234,0.011302941176470585
mon_Cyrl,0.0062777135294117626,0.019547058823529407
hin_Deva,1.3864117647058834e-05,0.0006588235294117649
other,0.027271342352941146,0.13222941176470582
avg,0.005920359681372548,0.03327426470588235
