lang,mse,mae
eng_Latn,0.006313244999999997,0.06270294117647057
deu_Latn,0.0016398961764705917,0.01937941176470591
cmn_Hani,0.010039949117647065,0.05206764705882352
tur_Latn,0.0021595747058823526,0.025158823529411765
kaz_Cyrl,0.00169711911764706,0.013973529411764708
hun_Latn,1.6728529411764715e-05,0.0014264705882352947
fin_Latn,0.0005374352941176466,0.005752941176470586
heb_Hebr,0.00046406500000000005,0.008526470588235292
arb_Arab,0.001973494411764706,0.01112058823529412
mon_Cyrl,0.005295928235294116,0.017111764705882354
hin_Deva,6.9897058823529494e-06,0.0004735294117647062
other,0.019968795294117644,0.1162941176470588
avg,0.004176101715686275,0.02783235294117647
