lang,mse,mae
deu_Latn,0.004425416759776538,0.017990502793296097
jpn_Jpan,0.002865037122905025,0.011062290502793294
cmn_Hani,0.002881080530726253,0.014914804469273742
eng_Latn,0.004612559748603355,0.0440114525139665
tur_Latn,0.00868817100558659,0.037998324022346396
urd_Arab,0.007236509245810057,0.02796340782122905
arb_Arab,0.003572565474860335,0.015731843575419
hun_Latn,0.0004227291899441338,0.003356145251396648
fin_Latn,0.0016175715921787704,0.005194692737430166
pan_Guru,0.00764483748603352,0.02646368715083799
guj_Gujr,0.00864762212290503,0.03422849162011175
heb_Hebr,0.0034270402513966484,0.011426536312849168
kaz_Cyrl,0.005910113575418996,0.02844022346368716
mon_Cyrl,0.008719233687150843,0.021396648044692747
hin_Deva,0.008945914106145245,0.027474581005586585
kor_Hang,5.964106145251397e-06,0.00016675977653631284
other,0.004089599441340783,0.040053631284916194
avg,0.004924233261583963,0.02163964837331581
