lang,mse,mae
deu_Latn,0.004449058351955311,0.017924301675977663
jpn_Jpan,0.002859256145251394,0.011905586592178765
cmn_Hani,0.002862277905027933,0.01506731843575419
eng_Latn,0.004937287681564248,0.045066759776536326
tur_Latn,0.008526588491620107,0.036975977653631295
urd_Arab,0.007731159301675978,0.02902318435754191
arb_Arab,0.003646837011173183,0.015772346368715082
hun_Latn,0.00044056664804469265,0.003456424581005586
fin_Latn,0.0015272767039106138,0.00499608938547486
pan_Guru,0.00741265625698324,0.027089944134078208
guj_Gujr,0.008368432597765369,0.033635474860335225
heb_Hebr,0.0039440318156424604,0.01216396648044693
kaz_Cyrl,0.007773757206703911,0.03294692737430169
mon_Cyrl,0.005451930502793303,0.017843016759776547
hin_Deva,0.006814525698324024,0.02560726256983241
kor_Hang,2.9550418994413417e-05,0.0006371508379888268
other,0.004342842346368715,0.042463128491620095
avg,0.004771649122576405,0.021916168255011505
