lang,mse,mae
deu_Latn,0.004369563519553075,0.018127932960893867
jpn_Jpan,0.0030182095530726246,0.012118435754189943
cmn_Hani,0.002842303743016757,0.014736312849162013
eng_Latn,0.005189367486033523,0.04754748603351957
tur_Latn,0.008954948994413408,0.03881675977653634
urd_Arab,0.00844196189944134,0.030828491620111732
arb_Arab,0.0034369320391061456,0.015518715083798887
hun_Latn,0.0008561522905027942,0.005432960893854752
fin_Latn,0.0015014908100558651,0.004980167597765362
pan_Guru,0.00803241215083799,0.027915363128491622
guj_Gujr,0.010009821620111735,0.037267597765363154
heb_Hebr,0.0037700268715083816,0.012021787709497207
kaz_Cyrl,0.008650604301675984,0.0352223463687151
mon_Cyrl,0.005733850391061456,0.0178513966480447
hin_Deva,0.007729060726256984,0.025944134078212295
kor_Hang,3.3101480446927394e-05,0.0005896648044692739
other,0.004469467988826816,0.04389385474860334
avg,0.005119957403877754,0.022871376930660537
