lang,mse,mae
deu_Latn,0.004410578854748609,0.017974581005586607
jpn_Jpan,0.0029389853072625672,0.011950279329608939
cmn_Hani,0.00269130340782123,0.014170391061452518
eng_Latn,0.005360394329608942,0.04726005586592181
tur_Latn,0.010363806703910614,0.04226201117318438
urd_Arab,0.008418292234636872,0.030559217877094973
arb_Arab,0.0027442691899441348,0.01433770949720671
hun_Latn,0.0008427957821229059,0.0053851955307262596
fin_Latn,0.0016149718435754185,0.00523072625698324
pan_Guru,0.008034336201117319,0.02854525139664804
guj_Gujr,0.010184045391061457,0.037390782122905045
heb_Hebr,0.003869500363128496,0.011872905027932968
kaz_Cyrl,0.009121903240223472,0.03610111731843578
mon_Cyrl,0.006565607793296092,0.01843826815642459
hin_Deva,0.008042310083798885,0.02731480446927375
kor_Hang,3.1251312849162025e-05,0.000572905027932961
other,0.004463393268156424,0.04365893854748602
avg,0.005276337959250741,0.023119125862635564
