lang,mse,mae
deu_Latn,0.00405482647759663,0.017036751795690357
jpn_Jpan,0.001843421117318436,0.009488268156424586
cmn_Hani,0.002296560889594496,0.013495411013567436
eng_Latn,0.0032256964061452547,0.03517513966480449
tur_Latn,0.009254140623471444,0.038590079143389196
urd_Arab,0.005985464455431407,0.023458398510242083
arb_Arab,0.002308061479795157,0.011442532588454377
hun_Latn,0.0005170106145251402,0.003064804469273744
fin_Latn,0.001888728743016758,0.005010335195530724
pan_Guru,0.00475147343575419,0.02150027932960893
guj_Gujr,0.005987318743016763,0.025377932960893867
heb_Hebr,0.0032357927615456255,0.010798649906890131
kaz_Cyrl,0.005870742945678151,0.027768654562383633
mon_Cyrl,0.002260433684427374,0.011208812849162012
hin_Deva,0.0035243702793296056,0.018300558659217873
kor_Hang,5.687932960893854e-06,0.00023519553072625697
other,0.003455871404440137,0.03708888933226922
avg,0.0035568001172969098,0.018178864333442873
