lang,mse,mae
deu_Latn,0.0039388576608678895,0.017268828145783465
jpn_Jpan,0.001953681229050281,0.010113966480446929
cmn_Hani,0.0025359682548456697,0.013424996674647504
eng_Latn,0.0033729776421089416,0.03685647579143392
tur_Latn,0.012077332064005278,0.04317068435754191
urd_Arab,0.008224720867163252,0.027489608938547485
arb_Arab,0.0023503378459031653,0.011463538175046556
hun_Latn,0.0004959648044692743,0.0027418994413407833
fin_Latn,0.0019095947206703894,0.005078491620111729
pan_Guru,0.0045021781005586585,0.02096983240223463
guj_Gujr,0.00787378865921788,0.031453072625698325
heb_Hebr,0.00323066877399907,0.011035451582867787
kaz_Cyrl,0.0070326379099860375,0.0307385335195531
mon_Cyrl,0.0029725561657666056,0.012355763500931101
hin_Deva,0.0034589843016759755,0.0178022346368715
kor_Hang,5.532374301675978e-06,0.00022765363128491616
other,0.003659489265463046,0.037665894519819096
avg,0.004093839449414887,0.019403348590832984
