lang,mse,mae
eng_Latn,0.005178974289340102,0.04768502538071065
fin_Latn,0.00034566512690355303,0.0037593908629441636
deu_Latn,0.004194455329949238,0.018375126903553297
cmn_Hani,0.005469058477157361,0.02538324873096447
hun_Latn,0.00044829197969543136,0.0037898477157360414
tur_Latn,0.008486810609137054,0.034747715736040595
mon_Cyrl,0.001967592741116752,0.01325279187817259
kaz_Cyrl,0.0038330131472081256,0.023028934010152307
heb_Hebr,0.002081936954314718,0.009023350253807096
arb_Arab,0.002496212005076139,0.013678934010152275
kor_Hang,0.00010753710659898475,0.0012294416243654822
hin_Deva,0.006990880431472077,0.02865609137055837
jpn_Jpan,0.0010285571573604075,0.007528934010152289
urd_Arab,0.005360123934010154,0.02597233502538072
pan_Guru,0.007609565989847716,0.03156751269035533
guj_Gujr,0.011312142766497451,0.0342997461928934
other,0.003165194771573604,0.03360812182741117
avg,0.004122118401015228,0.020916855777844134
