lang,mse,mae
eng_Latn,0.00522198961928934,0.04781598984771575
fin_Latn,0.0003276332994923855,0.0037055837563451793
deu_Latn,0.004267254796954316,0.01816218274111675
cmn_Hani,0.005443686700507617,0.025409137055837562
hun_Latn,0.00042611525380710665,0.0036774111675126906
tur_Latn,0.008389880329949237,0.03469111675126902
mon_Cyrl,0.0019344086040609144,0.013198223350253809
kaz_Cyrl,0.0037385257106599006,0.022745939086294433
heb_Hebr,0.0020828184263959352,0.009138578680203034
arb_Arab,0.0024837996954314694,0.013641624365482226
kor_Hang,9.925941624365484e-05,0.0011748730964467006
hin_Deva,0.006954441776649743,0.028675634517766495
jpn_Jpan,0.0010175702538071077,0.0074203045685279235
urd_Arab,0.00522489456852792,0.024629949238578686
pan_Guru,0.007716678934010153,0.03173147208121827
guj_Gujr,0.011278261827411162,0.03415989847715736
other,0.003301277918781727,0.034031472081218275
avg,0.004112264537175276,0.020824081815467303
