lang,mse,mae
eng_Latn,0.005241063756345178,0.04941116751269036
fin_Latn,0.0003300117005076141,0.0036388324873096465
deu_Latn,0.0041693969035533,0.018385786802030454
cmn_Hani,0.005715263248730966,0.026177157360406093
hun_Latn,0.00043320261421319803,0.0038378172588832494
tur_Latn,0.008039319670050758,0.034191624365482225
mon_Cyrl,0.002020609720812184,0.01306573604060914
kaz_Cyrl,0.00466072565989848,0.025818020304568538
heb_Hebr,0.002143842538071064,0.009230964467005068
arb_Arab,0.002321639796954313,0.01328324873096446
kor_Hang,0.0001186972081218274,0.001595431472081218
hin_Deva,0.006497364390862943,0.027088578680203045
jpn_Jpan,0.0013715931725888336,0.008873857868020309
urd_Arab,0.005167862512690358,0.02584949238578681
pan_Guru,0.007293214492385786,0.030807868020304562
guj_Gujr,0.011583940989847708,0.03456370558375634
other,0.0031165664974619296,0.03377868020304568
avg,0.004130842051358614,0.02115282173783219
