lang,mse,mae
eng_Latn,0.011429129477545477,0.06251623640319073
fin_Latn,0.0005333851944021444,0.003977174280879867
deu_Latn,0.005100893306553233,0.021507046168721296
cmn_Hani,0.009067870856581726,0.030985802513898975
hun_Latn,0.0002775782542958718,0.002369981266618321
tur_Latn,0.006359985586639009,0.0322205408508581
mon_Cyrl,0.0018608924447427108,0.01062612460720329
kaz_Cyrl,0.004285969127737637,0.024285667754411433
heb_Hebr,0.009780671087654395,0.021176275078559362
arb_Arab,0.00191097627824309,0.010095414551607434
kor_Hang,7.852973103496898e-05,0.0008478003384094753
hin_Deva,0.005891836649746192,0.026134010152284247
jpn_Jpan,0.0014144738079878761,0.007772017766497469
urd_Arab,0.005950959705196,0.02683608714043995
pan_Guru,0.007678295532994922,0.029510659898477152
guj_Gujr,0.01144786890862943,0.03445101522842639
other,0.003671660701273207,0.035767136209813866
avg,0.005102410391250464,0.02241641118884102
