lang,mse,mae
eng_Latn,0.010885325007531222,0.06049540518491661
fin_Latn,0.0005329486097010728,0.003981717428087989
deu_Latn,0.004939914061537722,0.021270654459753447
cmn_Hani,0.009280203559384826,0.0312462098138748
hun_Latn,0.0002737573845009317,0.0023860641769398094
tur_Latn,0.006218187480636267,0.031119322576746416
mon_Cyrl,0.0018916867714878504,0.01090382523567803
kaz_Cyrl,0.0041978944566001385,0.023600578921924124
heb_Hebr,0.009916742808019394,0.021463567802755636
arb_Arab,0.0020862905038141573,0.010917703045685276
kor_Hang,7.58466744218838e-05,0.0008295685279187814
hin_Deva,0.005339638172588831,0.02472639593908629
jpn_Jpan,0.0015072320932036118,0.008053087986463625
urd_Arab,0.004326819362168645,0.023718917089678528
pan_Guru,0.007823956522842637,0.03001497461928933
guj_Gujr,0.011479625558375624,0.034010406091370564
other,0.0036396869513994267,0.035018022419627745
avg,0.004965632704600837,0.021985671842340997
