lang,mse,mae
eng_Latn,0.02228641499999999,0.11566111111111115
fin_Latn,0.0007661813888888888,0.016258333333333336
deu_Latn,0.005434977222222224,0.03790555555555554
cmn_Hani,0.009625868055555563,0.061019444444444466
hun_Latn,0.000496754722222222,0.00589722222222222
tur_Latn,0.0008535936111111121,0.016608333333333346
mon_Cyrl,0.007236069166666664,0.04305277777777776
kaz_Cyrl,0.0010314224999999986,0.015013888888888882
heb_Hebr,0.005820461944444447,0.03311388888888895
arb_Arab,0.009845984999999998,0.020205555555555553
kor_Hang,0.0007505783333333338,0.009477777777777781
hin_Deva,1.3920000000000009e-05,0.001
other,0.005936136944444443,0.0578083333333333
avg,0.005392181837606837,0.03330940170940171
