lang,mse,mae
eng_Latn,0.026447960833333325,0.125325
fin_Latn,0.0007284122222222222,0.016155555555555555
deu_Latn,0.006854824166666662,0.04166388888888885
cmn_Hani,0.016575458611111128,0.0825305555555556
hun_Latn,0.0005006769444444444,0.005774999999999999
tur_Latn,0.000876114722222223,0.016408333333333344
mon_Cyrl,0.007093586111111109,0.04246666666666666
kaz_Cyrl,0.0008688524999999996,0.013180555555555551
heb_Hebr,0.005853608611111109,0.03315833333333339
arb_Arab,0.01016883111111111,0.022211111111111112
kor_Hang,0.0007152780555555562,0.009208333333333336
hin_Deva,1.1680000000000008e-05,0.0006666666666666669
other,0.00797413305555555,0.06703611111111109
avg,0.006513032072649572,0.03659893162393162
