lang,mse,mae
eng_Latn,0.015737654722222227,0.0985138888888889
fin_Latn,0.0008308938888888892,0.01863333333333334
deu_Latn,0.008506117222222224,0.04316111111111113
cmn_Hani,0.007477846666666661,0.046150000000000024
hun_Latn,4.7576666666666736e-05,0.0024833333333333344
tur_Latn,0.0006428963888888891,0.013897222222222215
mon_Cyrl,0.008324646111111104,0.04284444444444443
kaz_Cyrl,0.0006778591666666673,0.011486111111111114
heb_Hebr,0.005672641944444446,0.03196388888888895
arb_Arab,0.009711197222222223,0.017977777777777777
kor_Hang,0.0004170716666666667,0.006127777777777777
hin_Deva,4.408000000000005e-05,0.0012666666666666672
other,0.006111596666666663,0.06334999999999996
avg,0.00493862141025641,0.03060427350427351
