lang,mse,mae
deu_Latn,0.002706452765363127,0.014114245810055864
eng_Latn,0.0031082317810249053,0.03727474993349295
cmn_Hani,0.0021425646706418862,0.013384668794892248
jpn_Jpan,0.000707416648044693,0.005841899441340784
tur_Latn,0.006425469176303535,0.03296323091247671
hun_Latn,0.00040727581005586567,0.0032111731843575404
fin_Latn,0.0009723751675977661,0.004386312849162011
urd_Arab,0.005563232861398206,0.02281939944134079
arb_Arab,0.002442274505656425,0.012674259776536315
kaz_Cyrl,0.004920561940114837,0.02649476722532589
pan_Guru,0.0036389512849162014,0.018798882681564235
guj_Gujr,0.004675911592178772,0.022979608938547485
hin_Deva,0.005104800418994418,0.023442178770949736
heb_Hebr,0.0033648232665992117,0.010850480180899185
mon_Cyrl,0.002417261042706393,0.012817560521415267
kor_Hang,2.6781089385474892e-05,0.000443296089385475
other,0.001526383454822711,0.025995263367916993
avg,0.0029500451456355545,0.016970116348215266
