lang,mse,mae
deu_Latn,0.0026711423774053353,0.01460689013035381
eng_Latn,0.003620540921833474,0.04204098230912478
cmn_Hani,0.0021124364838900917,0.013152825219473255
jpn_Jpan,0.0009124280726256996,0.0068053072625698366
tur_Latn,0.008954314101714768,0.038613021415269996
hun_Latn,0.0003909950837988823,0.0027972067039106143
fin_Latn,0.0009010125418994421,0.004181843575418995
urd_Arab,0.008704186173316268,0.028875544692737443
arb_Arab,0.0025603776035769714,0.013007891061452512
kaz_Cyrl,0.006516743210715395,0.030873189013035384
pan_Guru,0.003653170279329608,0.01914245810055865
guj_Gujr,0.005966531955307264,0.027496089385474865
hin_Deva,0.005205798016759777,0.024073463687150846
heb_Hebr,0.0033908368878491635,0.011119422718808203
mon_Cyrl,0.0022759778038795773,0.011783808193668524
kor_Hang,2.5910000000000018e-05,0.0004413407821229051
other,0.0015297555108984466,0.026530762835860592
avg,0.0034936562955764808,0.018561296887470075
